WARNING  : Скважина 11200д/1 (id - 6100) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21522/1 (id - 6403) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 11258/1 (id - 74305) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 2351д/1 (id - 57409) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20824/1 (id - 48301) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 1035/1 (id - 6540) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21646/1 (id - 6634) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32261/1 (id - 88222) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10870/1 (id - 73687) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32314/2 (id - 59955) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 20783/1 (id - 75758) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32653/2 (id - 53004) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 15673/1 (id - 89755) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20525/1 (id - 69857) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20990/1 (id - 59959) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32333/1 (id - 57017) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21361/1 (id - 56922) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32442/1 (id - 58983) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20482/1 (id - 74697) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20202/1 (id - 68147) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32280/1 (id - 56742) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32684/1 (id - 73324) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20858/2 (id - 64548) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 139д/1 (id - 71694) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21040/1 (id - 57792) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21297/1 (id - 73457) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
